name,year,moto_type,place,price,volume,distance,fuel,engine_type
Harley-Davidson Night Rod Special VRSCDX,2011,Чоппер,Япония → Владивосток,1220000,1250,20867,бензин,4-тактный
Aprilia Mana 850 GT,2011,Эндуро,Япония → Владивосток,465000,850,7158,бензин,4-тактный
Ducati Diavel 1260,2021,Спортивный мотоцикл,Япония → Владивосток,1550000,1260,2537,бензин,4-тактный
Ducati Multistrada V4 S,2022,Спортивный мотоцикл,Япония → Владивосток,1760000,1158,8224,бензин,4-тактный
Honda CBR 1100XX,1997,Спортивно-туристический мотоцикл,Япония → Владивосток,380000,1100,34652,бензин,4-тактный
Yamaha XV1900 STRATOLINER S,2010,Круизер,Краснодар,1050000,1900,71000,бензин,4-тактный
Honda CBR 1100XX,1999,Спортивно-туристический мотоцикл,Япония → Владивосток,380000,1100,30693,бензин,4-тактный
Иж Планета 2,1976,Классический мотоцикл,Ачинск,28000,350,35000,бензин,2-тактный
Honda СВ 400 СYПЕР FOUR,1995,Спортивно-туристический мотоцикл,Ачинск,299000,400,28000,бензин,4-тактный
Ducati Multistrada 950 S,2022,Турэндуро,Япония → Владивосток,930000,950,7123,бензин,4-тактный
Honda CB 650R,2023,Классический мотоцикл,Япония → Владивосток,780000,650,7365,бензин,4-тактный
Урал М-67 36,1983,Классический мотоцикл,Мыски,120000,660,22000,бензин,4-тактный
Kawasaki Ninja 400,2023,Спортивный мотоцикл,Япония → Владивосток,515000,400,441,бензин,4-тактный
Triumph Rocket III,2024,Спортивный мотоцикл,Япония → Владивосток,2235000,2500,11,бензин,4-тактный
Honda CB 1000R,2021,Стритфайтер,Япония → Владивосток,1160000,1000,3940,бензин,4-тактный
BMW R 1200 R,2011,Классический мотоцикл,Уссурийск,700000,1200,27622,бензин,4-тактный
Honda NC 700S,2013,Классический мотоцикл,Япония → Владивосток,300000,400,10852,бензин,4-тактный
Yamaha XVS 1300,2012,Круизер,Япония → Владивосток,730000,1300,16351,бензин,4-тактный
Suzuki V-STROM 650 XТА,2023,Турэндуро,Владивосток,740000,650,40720,бензин,4-тактный
BMW R Nine T Scrambler,2017,Классический мотоцикл,Япония → Владивосток,770000,1170,5397,бензин,4-тактный
Triumph Rocket III,2021,Круизер,Сочи,2100000,2500,1400,бензин,4-тактный
Suzuki GSX-R 750,2016,Спортивный мотоцикл,Япония → Владивосток,920000,750,9771,бензин,4-тактный
Suzuki GSX-R 750,2005,Спортивный мотоцикл,Япония → Владивосток,475000,750,65460,бензин,4-тактный
Yamaha XJR 1300,2007,Классический мотоцикл,Япония → Владивосток,570000,1300,36789,бензин,4-тактный
Aprilia Tuareg,2024,Турэндуро,Япония → Владивосток,930000,660,170,бензин,4-тактный
Suzuki GSX S1000,2016,Спортивный мотоцикл,Япония → Владивосток,710000,1000,22115,бензин,4-тактный
Ducati Scrambler,2018,Туристический мотоцикл,Япония → Владивосток,440000,400,1860,бензин,4-тактный
Honda NC 750S,2016,Турэндуро,Япония → Владивосток,460000,750,7447,бензин,4-тактный
Kawasaki Ninja ZX-10R,2020,Спортивный мотоцикл,Владивосток,1830000,1000,17000,бензин,4-тактный
Suzuki GSX-R 1000R,2018,Спортивный мотоцикл,Владивосток,1825000,1000,18000,бензин,4-тактный
Скаут 3-140,2024,Туристический мотоцикл,Чехов,140000,140,100,бензин,4-тактный
Sharmax Sport 190,2023,Питбайк,Абакан,100000,140,500,бензин,4-тактный
JHL Z8,2024,Эндуро,Владивосток,330000,300,411,бензин,4-тактный
Bajaj Dominar 400,2018,Классический мотоцикл,Дудинка,380000,373,4500,бензин,4-тактный
Yamaha YZF-R25,2016,Спортивный мотоцикл,Спасск-Дальний,300000,250,15674,бензин,4-тактный
BMW F 800 S,2008,Спортивный мотоцикл,Владивосток,365000,800,48000,бензин,4-тактный
Honda GL 1500SE,1997,Круизер,Владивосток,595000,1520,37000,бензин,4-тактный
Suzuki GSX-R 750,2004,Спортивный мотоцикл,Япония → Владивосток,460000,750,33103,бензин,4-тактный
BMW F 850 GS Adventure,2019,Турэндуро,Краснодар,1500000,850,27000,бензин,4-тактный
Bajaj Dominar 400,2023,Классический мотоцикл,Сосновоборск,420000,373,4800,бензин,4-тактный
Kayo K1 250 Enduro,2020,Эндуро,Тольятти,80000,250,20000,бензин,4-тактный
Honda XR 250 Baja,2005,Эндуро,Иркутск,285000,250,25000,бензин,4-тактный
Racer Panther RC300-GY8X,2024,Эндуро,Новосибирск,130000,270,700,бензин,4-тактный
JHL Z140E Pro,2025,Питбайк,Саянск,89000,140,2000,бензин,4-тактный
Honda XL700V Transalp,2009,Турэндуро,Благовещенск,710000,680,36000,бензин,4-тактный
Yamaha XJR 1300,1998,Классический мотоцикл,Владивосток,450000,1300,38500,бензин,4-тактный
Regulmoto ADV,2025,Турэндуро,Владивосток,190000,300,1000,бензин,4-тактный
Ducati Diavel,2014,Круизер,Япония → Владивосток,765000,1200,15289,бензин,4-тактный
Yamaha BOLT R SРЕС,2023,Круизер,Япония → Владивосток,720000,950,5399,бензин,4-тактный
Honda NC 750X,2014,Турэндуро,Япония → Владивосток,480000,750,19894,бензин,4-тактный
Suzuki GSX 1300R Hayabusa,2004,Спортивно-туристический мотоцикл,Владивосток,450000,1300,20000,бензин,4-тактный
Yamaha YZF-R1,2005,Спортивный мотоцикл,Находка,650000,998,55000,бензин,4-тактный
Suzuki GSX S1000,2020,Спортивный мотоцикл,Япония → Владивосток,790000,1000,10641,бензин,4-тактный
Honda GL 1800 Gold Wing Tour DCT,2022,Круизер,Япония → Владивосток,2220000,1800,21214,бензин,4-тактный
Triumph Bonneville,2024,Круизер,Япония → Владивосток,1420000,1200,164,бензин,4-тактный
Kawasaki KLX 250,2016,Эндуро,Япония → Владивосток,490000,250,18164,бензин,4-тактный
Honda CBR 400R,2020,Спортивный мотоцикл,Япония → Владивосток,470000,400,17146,бензин,4-тактный
Yamaha XJ,2011,Спортивный мотоцикл,Япония → Владивосток,440000,600,13125,бензин,4-тактный
Honda CBR 650F,2015,Спортивно-туристический мотоцикл,Новосибирск,680000,650,55000,бензин,4-тактный
Triumph Rocket III,2021,Круизер,Япония → Владивосток,1790000,2458,4935,бензин,4-тактный
Honda CBR 400R,2019,Спортивный мотоцикл,Япония → Владивосток,515000,400,13506,бензин,4-тактный
Suzuki V-Strom 650,2013,Турэндуро,Амурск,580000,650,36300,бензин,4-тактный
Yamaha MT-07,2014,Стритфайтер,Хабаровск,545000,700,17500,бензин,4-тактный
Regulmoto Sport-003 PR,2024,Эндуро,Красноярск,180000,300,300,бензин,4-тактный
Yamaha YZF-R1,2007,Спортивный мотоцикл,Владивосток,585000,1000,15000,бензин,4-тактный
Victory Jackpot,2007,Кастомный мотоцикл,Железногорск-Илимский,1100000,1689,30000,бензин,4-тактный
Yamaha PW50,2021,Кроссовый мотоцикл,Обнинск,155000,49,1,бензин,2-тактный
Yamaha MT-07,2015,Стритфайтер,Тюмень,645000,700,4870,бензин,4-тактный
Kawasaki ZX-6R Ninja,2012,Спортивный мотоцикл,Хабаровск,540000,600,43000,бензин,4-тактный
Honda VFR 800A,2007,Спортивно-туристический мотоцикл,Владивосток,500000,800,48500,бензин,4-тактный
Yamaha YZF-R1,2000,Спортивный мотоцикл,Хабаровск,500000,1000,40000,бензин,4-тактный
KTM Freeride 350,2013,Эндуро,Владивосток,520000,350,1160,бензин,4-тактный
Regulmoto Regulmoto Sport-003 PR PRO 300,2024,Кроссовый мотоцикл,Михайловка,200000,300,1500,бензин,4-тактный
Regulmoto Seven,2024,Питбайк,Новосибирск,85000,125,5000,бензин,4-тактный
Suzuki SV 650S,1999,Спортивно-туристический мотоцикл,Омск,200000,650,22000,бензин,4-тактный
Harley-Davidson Sportster Iron 883 XL883N,2013,Круизер,Москва,749000,883,14331,бензин,4-тактный
Ducati Panigale V2,2023,Спортивный мотоцикл,Япония → Владивосток,1200000,955,11137,бензин,4-тактный
Ducati Panigale V2,2023,Спортивный мотоцикл,Япония → Владивосток,1400000,955,4336,бензин,4-тактный
Kawasaki ER-6n,2010,Стритфайтер,Владивосток,380000,650,30000,бензин,4-тактный
Harley-Davidson FLTR ROAD GLIDE,2021,Круизер,Москва,1850000,1750,18905,бензин,4-тактный
Harley-Davidson Road Glide,2023,Круизер,Москва,1950000,1750,14505,бензин,4-тактный
Yamaha XVS 950 Bolt,2013,Круизер,Япония → Владивосток,565000,950,34513,бензин,4-тактный
BMW R Nine T Scrambler,2023,Классический мотоцикл,Япония → Владивосток,1150000,1170,2029,бензин,4-тактный
KTM 390 Adventure,2022,Турэндуро,Томск,581000,390,4800,бензин,4-тактный
Suzuki GSX S1000,2020,Спортивный мотоцикл,Япония → Владивосток,780000,1000,10366,бензин,4-тактный
Suzuki GSX S1000,2020,Спортивный мотоцикл,Япония → Владивосток,715000,1000,23348,бензин,4-тактный
Suzuki RF 900R,1996,Спортивно-туристический мотоцикл,Дальнереченск,420000,937,20000,бензин,4-тактный
Triumph Bonneville Speedmaster,2023,Круизер,Япония → Владивосток,990000,1200,14662,бензин,4-тактный
Yamaha XVS 1300,2013,Круизер,Япония → Владивосток,740000,1300,23594,бензин,4-тактный
Ducati Multistrada 950 S,2020,Турэндуро,Япония → Владивосток,835000,937,433,бензин,4-тактный
Suzuki GSX S1000,2022,Спортивный мотоцикл,Япония → Владивосток,870000,998,2710,бензин,4-тактный
Racer Panther RC300-GY8X,2024,Эндуро,Павловск,100000,300,14000,бензин,4-тактный
Honda Shadow 1100,2004,Чоппер,Благовещенск,700000,1100,33000,бензин,4-тактный
Ducati Scrambler,2016,Классический мотоцикл,Япония → Владивосток,490000,803,11702,бензин,4-тактный
Hengjian Hengjian,2025,Эндуро,Новосибирск,250000,300,1,бензин,4-тактный
Honda XL 250 Degree,1993,Эндуро,Уссурийск,220000,250,10000,бензин,4-тактный
Triumph Thunderbird 1600,2010,Чоппер,Иркутск,750000,1597,14000,бензин,4-тактный
Ducati Monster 821,2018,Спортивный мотоцикл,Япония → Владивосток,550000,821,9138,бензин,4-тактный
Kawasaki Ninja 400,2020,Спортивный мотоцикл,Япония → Владивосток,440000,400,5667,бензин,4-тактный
Yamaha XJR 1300,2006,Классический мотоцикл,Япония → Владивосток,515000,1300,20036,бензин,4-тактный
Triumph Daytona,2020,Спортивный мотоцикл,Япония → Владивосток,1280000,765,4408,бензин,4-тактный
Ducati Monster 696,2010,Спортивный мотоцикл,Япония → Владивосток,370000,696,13507,бензин,4-тактный
Honda X4,2003,Классический мотоцикл,Братск,550000,1300,40000,бензин,4-тактный
Honda MAGNA 750RS,1988,Круизер,Лесозаводск,450000,750,62000,бензин,4-тактный
Regulmoto 200 01,2025,Классический мотоцикл,Усть-Баргузин,90000,200,150,бензин,4-тактный
Honda XR 650L,2008,Эндуро,Кириши,590000,650,10,бензин,4-тактный
Harley-Davidson Street Glide,2021,Туристический мотоцикл,Новосибирск,3950000,1868,1,бензин,4-тактный
Иж Планета 5,1991,Классический мотоцикл,Новосибирск,55000,350,10000,бензин,2-тактный
Honda NC 700X,2013,Классический мотоцикл,Новосибирск,520000,700,9686,бензин,4-тактный
Иж Планета 5,1991,Классический мотоцикл,Новосибирск,90000,350,13000,бензин,2-тактный
Motoland Forester 200,2023,Туристический мотоцикл,Новосибирск,110000,200,7300,бензин,4-тактный
Yamaha FZ 400,2000,Классический мотоцикл,Улан-Удэ,250000,400,22027,бензин,4-тактный
Regulmoto CR-X 300,2025,Эндуро,Вольно-Надеждинское,200000,300,420,бензин,4-тактный
KTM 1290 Super Duke GT,2019,Спортивно-туристический мотоцикл,Владивосток,1000000,1300,36000,бензин,4-тактный
Kawasaki Ninja,2017,Спортивный мотоцикл,Владивосток,670000,650,13000,бензин,4-тактный
Kawasaki Ninja,2017,Спортивный мотоцикл,Владивосток,680000,650,11000,бензин,4-тактный
Kawasaki 1400GTR,2008,Спортивно-туристический мотоцикл,Владивосток,610000,1400,48000,бензин,4-тактный
Honda Transalp,2023,Спортивно-туристический мотоцикл,Владивосток,1200000,750,5000,бензин,4-тактный
Ducati Scrambler,2015,Классический мотоцикл,Владивосток,610000,800,9000,бензин,4-тактный
Honda VFR 800,2014,Спортивно-туристический мотоцикл,Владивосток,690000,800,28000,бензин,4-тактный
Kawasaki Ninja 400R,2013,Спортивный мотоцикл,Япония → Иркутск,360000,400,20000,бензин,4-тактный
Kawasaki W800,2020,Классический мотоцикл,Комсомольск-на-Амуре,900000,800,20900,бензин,4-тактный
KTM 390 Duke,2016,Стритфайтер,Владивосток,353000,390,23224,бензин,4-тактный
Honda NC700XLD,2012,Турэндуро,Новосибирск,595000,700,20135,бензин,4-тактный
Honda CBR 1100XX,1999,Спортивно-туристический мотоцикл,Красноярск,520000,1100,41000,бензин,4-тактный
Honda NC 700X,2013,Мотоциклы,Томск,550000,700,22900,бензин,4-тактный
Kayro Beast,2024,Туристический мотоцикл,Омск,180000,250,1600,бензин,4-тактный
Racer Racer,2015,Кроссовый мотоцикл,Большой Луг,80000,250,1000,бензин,4-тактный
Урал ИМЗ 8.103-40,1993,Туристический мотоцикл,Зональное,180000,650,11295,бензин,4-тактный
Saimo 06,2025,Эндуро,Биробиджан,70000,300,700,бензин,4-тактный
Bajaj PULSAR 200 NS,2022,Классический мотоцикл,Москва,225000,200,3150,бензин,4-тактный
Yamaha FZ 1,2012,Стритфайтер,Владивосток,550000,1000,30000,бензин,4-тактный
Honda VTX 1300S,2004,Круизер,Чита,800000,1300,96000,бензин,4-тактный
Ducati Monster 1100,2009,Стритфайтер,Хабаровск,600000,1078,22637,бензин,4-тактный
Kawasaki Z 650,2017,Стритфайтер,Хабаровск,750000,650,12266,бензин,4-тактный
Kawasaki Z1000-2,2009,Стритфайтер,Новосибирск,670000,1000,16000,бензин,4-тактный
Racer Enduro L150 RC150-23X,2025,Эндуро,Новокручининский,85000,150,1000,бензин,4-тактный
BMW F 900 XR,2024,Спортивно-туристический мотоцикл,Новосибирск,1500000,900,2000,бензин,4-тактный
Suzuki GSX 1000 R,2001,Спортивный мотоцикл,Ангарск,450000,1000,30000,бензин,4-тактный
Yamaha XVS 1300 V STAR TURER,2009,Круизер,Комсомольск-на-Амуре,680000,1300,21000,бензин,4-тактный
SYCMCC 06,2025,Эндуро,Берёзовка,105000,300,252,бензин,4-тактный
Yamaha MT-09 Tracer,2015,Спортивно-туристический мотоцикл,Томск,1080000,900,48483,бензин,4-тактный
BMW G 310 GS,2020,Спортивно-туристический мотоцикл,Хабаровск,365000,310,8893,бензин,4-тактный
Kawasaki Z 900,2018,Стритфайтер,Новосибирск,800000,954,20000,бензин,4-тактный
Honda Shadow Aero,2012,Круизер,Минск,546000,750,44500,бензин,4-тактный
Racer RC200GY-C2A Tourist,2020,Классический мотоцикл,Усолье-Сибирское,105000,200,950,бензин,4-тактный
Suzuki GSX 1400,2005,Классический мотоцикл,Хабаровск,600000,1400,38600,бензин,4-тактный
Kawasaki Ninja ZX-10R,2007,Спортивный мотоцикл,Новосибирск,878000,999,16556,бензин,4-тактный
Yamaha YZF-R6,2003,Спортивный мотоцикл,Находка,600000,600,66000,бензин,4-тактный
Kawasaki Ninja 650R,2011,Спортивно-туристический мотоцикл,Новосибирск,525000,650,4600,бензин,4-тактный
Honda VFR 800F,2014,Спортивно-туристический мотоцикл,Красноярск,840000,800,8900,бензин,4-тактный
JHL Z7,2025,Эндуро,Новосибирск,230000,250,1245,бензин,4-тактный
Yamaha Star Bolt R-Spec,2014,Круизер,Владивосток,545000,941,53700,бензин,4-тактный
Yamaha MT-09 ABS,2015,Стритфайтер,Новосибирск,800000,900,40000,бензин,4-тактный
Suzuki TS 200R,1995,Эндуро,Владивосток,140000,200,123456,бензин,2-тактный
Harley-Davidson FAT BOY 114,2018,Классический мотоцикл,Чита,2330000,1870,1800,бензин,4-тактный
Racer Triumph,2024,Классический мотоцикл,Барнаул,155000,250,1700,бензин,4-тактный
Triumph Trident 660,2021,Стритфайтер,Владивосток,685000,660,25277,бензин,4-тактный
Harley-Davidson Dyna Super Glide Custom FXDC,2013,Чоппер,Владивосток,759000,1584,14638,бензин,4-тактный
STELS SB200,2011,Спортивный мотоцикл,Глазуновка,35000,200,9400,бензин,4-тактный
Triumph Trident 660,2022,Стритфайтер,Владивосток,790000,660,11990,бензин,4-тактный
Yamaha YZF-R6,2000,Спортивный мотоцикл,Иркутск,465000,599,25000,бензин,4-тактный
Yamaha XSR900,2017,Стритфайтер,Владивосток,799000,850,3051,бензин,4-тактный
Honda CB900F,2004,Стритфайтер,Рубцовск,500000,919,55000,бензин,4-тактный
Honda CRF 250L,2024,Эндуро,Бийск,795000,249,366,бензин,4-тактный
Roliz Cross-125,2025,Питбайк,Чита,75000,125,400,бензин,4-тактный
BMW F 650 CS,2002,Спортивно-туристический мотоцикл,Екатеринославка,330000,650,41900,бензин,4-тактный
Roliz Sport-003,2023,Эндуро,Хабаровск,140000,250,2000,бензин,4-тактный
Suzuki RF 900R,1999,Спортивно-туристический мотоцикл,Чита,400000,900,51122,бензин,4-тактный
Bajaj Pulsar NS 125,2022,Спортивный мотоцикл,Владивосток,165000,124,4000,бензин,4-тактный
Yamaha FJR 1300,2013,Спортивно-туристический мотоцикл,Чита,950000,1300,32000,бензин,4-тактный
KTM 390 Duke,2017,Стритфайтер,Владивосток,390000,390,21800,бензин,4-тактный
Beta RR 4T 125 LC,2022,Эндуро,Владивосток,410000,125,3028,бензин,4-тактный
Kayo K4 300 MX,2024,Эндуро,Куйбышево,195000,250,50,бензин,4-тактный
Kayo Mini TS70,2024,Детский мотоцикл,Комсомольск-на-Амуре,55000,72,100,бензин,4-тактный
Suzuki DR-Z 400S,2000,Эндуро,Находка,350000,400,38000,бензин,4-тактный
Yamaha MT-03,2015,Стритфайтер,Иркутск,450000,321,10292,бензин,4-тактный
Honda ST 1300,2006,Спортивно-туристический мотоцикл,Иркутск,640000,1261,60090,бензин,4-тактный
Yamaha FJR 1300,2014,Туристический мотоцикл,Иркутск,825000,1300,68152,бензин,4-тактный
Kawasaki Ninja 400,2018,Спортивно-туристический мотоцикл,Иркутск,550000,400,5760,бензин,4-тактный
Yamaha Tracer 9 GT,2022,Спортивно-туристический мотоцикл,Иркутск,1525000,850,4919,бензин,4-тактный
Yamaha Tracer 9 GT,2024,Спортивно-туристический мотоцикл,Иркутск,1790000,899,3023,бензин,4-тактный
Suzuki GSX 1300 R Hayabusa,2003,Спортивно-туристический мотоцикл,Иркутск,665000,1300,51430,бензин,4-тактный
BMW F 800 GS,2012,Турэндуро,Иркутск,825000,800,4115,бензин,4-тактный
Honda NC 750XD,2014,Туристический мотоцикл,Иркутск,670000,750,25844,бензин,4-тактный
Yamaha XSR700,2020,Стритфайтер,Иркутск,895000,700,1908,бензин,4-тактный
Honda CB 1100,2012,Стритфайтер,Иркутск,670000,1100,26889,бензин,4-тактный
Husqvarna TE 300,2024,Эндуро,Уссурийск,1350000,300,50,бензин,2-тактный
BMW R 1200 ST,2006,Спортивно-туристический мотоцикл,Хабаровск,445000,1200,50000,бензин,4-тактный
Kawasaki Z 1000,2018,Стритфайтер,Владивосток,950000,1000,22000,бензин,4-тактный
Honda CBR 1000RR Fireblade,2006,Спортивный мотоцикл,Новосибирск,590000,1000,70381,бензин,4-тактный
BSE Z9,2024,Эндуро,Чусовой,210000,300,300,бензин,4-тактный
Honda AFRIKA TWIN 750,1996,Турэндуро,Санкт-Петербург,450000,742,63000,бензин,4-тактный
Kawasaki Ninja ZX-12R,2000,Спортивный мотоцикл,Уфа,430000,1200,68500,бензин,4-тактный
Racer SXR 125 E,2024,Питбайк,Бийск,65000,125,10,бензин,4-тактный
KTM 250 Duke,2015,Стритфайтер,Владивосток,269000,250,34472,бензин,4-тактный
Kawasaki Ninja 650,2018,Спортивно-туристический мотоцикл,Владивосток,530000,649,41000,бензин,4-тактный
Honda Shadow 750,2008,Чоппер,Омск,550000,750,30000,бензин,4-тактный
Motoland Enduro 250 LT,2022,Эндуро,Липецк,140000,250,4900,бензин,4-тактный
Восход 3М,1993,Туристический мотоцикл,Улан-Удэ,60000,175,5000,бензин,2-тактный
Victory Cross Country,2015,Круизер,Владивосток,1140000,1800,42000,бензин,4-тактный
Kayo T4 250 Enduro,2022,Эндуро,Нефтеюганск,190000,250,1000,бензин,4-тактный
Motoland Motoland,2014,Чоппер,Томск,210000,250,2020,бензин,4-тактный
Procida CRF PR300,2024,Кроссовый мотоцикл,Новосибирск,180000,300,100,бензин,4-тактный
Yamaha XV 950 Bolt,2015,Круизер,Благовещенск,750000,950,8000,бензин,4-тактный
Honda CB 400SF,2006,Классический мотоцикл,Новосибирск,300000,400,50000,бензин,4-тактный
Honda CBR 400R,2013,Спортивно-туристический мотоцикл,Новокузнецк,465000,400,23000,бензин,4-тактный
Yamaha MT-09,2019,Стритфайтер,Хабаровск,1000000,850,30000,бензин,4-тактный
Harley-Davidson Softail Street Bob,2021,Круизер,Новосибирск,1950000,1868,5476,бензин,4-тактный
Suzuki Djebel 250 XC,1996,Эндуро,Новосибирск,240000,250,26000,бензин,4-тактный
Kawasaki Versys 650,2010,Турэндуро,Хабаровск,450000,650,45000,бензин,4-тактный
Yamaha FZ 400,1998,Классический мотоцикл,Чита,260000,400,83000,бензин,4-тактный
KTM 350 EXC-F,2017,Эндуро,Барнаул,755000,350,3000,бензин,4-тактный
Honda CBR 1100XX,1997,Спортивно-туристический мотоцикл,Хабаровск,485000,1100,50000,бензин,4-тактный
Regulmoto Seven Medalist Pro,2023,Питбайк,Павловка,85000,140,1500,бензин,4-тактный
Ducati 848 Evo,2012,Спортивный мотоцикл,Омск,645000,848,19200,бензин,4-тактный
79Bike Falcon GT,2024,Эндуро,Горячий Ключ,70000,250,1000,бензин,4-тактный
Ataki Crosser 300,2025,Турэндуро,Магадан,170000,300,2000,бензин,4-тактный
Honda VTX 1300,2005,Круизер,Зеленогорск,560000,1300,1,бензин,4-тактный
Zuumav FX CR-300NC,2024,Эндуро,Хасавюрт,190000,300,3000,бензин,4-тактный
Racer Panther RC250GY-C2,2024,Эндуро,Родино,136000,250,250,бензин,4-тактный
Honda CBR 1100 XX Blackbird,1998,Спортивно-туристический мотоцикл,Новокузнецк,470000,1100,68000,бензин,4-тактный
Kawasaki ZZR 400 2,1997,Спортивно-туристический мотоцикл,Чита,290000,400,78869,бензин,4-тактный
Yamaha FZS 1000,2003,Спортивно-туристический мотоцикл,Санкт-Петербург,450000,1000,35000,бензин,4-тактный
Kawasaki ZZR 400,2007,Спортивно-туристический мотоцикл,Чишмы,320000,400,30000,бензин,4-тактный
Yamaha WR 450F,2019,Эндуро,Чита,720000,450,6067,бензин,4-тактный
Harley-Davidson Street 750 XG750,2018,Круизер,Красноярск,800000,750,11000,бензин,4-тактный
Yamaha XSR700,2018,Стритфайтер,Омск,700000,700,10000,бензин,4-тактный
Suzuki 600,2011,Спортивный мотоцикл,Горячий Ключ,600000,600,49600,бензин,4-тактный
Motoland XR 300 LITE,2022,Эндуро,Кукмор,110000,250,2000,бензин,4-тактный
Honda NT 650 V DEAUVILLE,2000,Спортивно-туристический мотоцикл,Славянск-На-Кубани,350000,650,56000,бензин,4-тактный
BMW K 1200 R,2005,Спортивный мотоцикл,Кемерово,600000,1200,22000,бензин,4-тактный
Suzuki Bandit GSF 600 S,1999,Стритфайтер,Краснодар,275000,599,42000,бензин,4-тактный
Honda CB 1300SF,1998,Классический мотоцикл,Хабаровск,400000,1280,33900,бензин,4-тактный
Harley-Davidson CVO Electra Glide,2016,Круизер,Хабаровск,1900000,1800,41000,бензин,4-тактный
Roliz 150-8A-E Optimus,2023,Классический мотоцикл,Хабаровск,75999,200,9000,бензин,4-тактный
Honda VFR 800,2004,Спортивно-туристический мотоцикл,Усть-Ордынский,600000,800,39000,бензин,4-тактный
SPR Hard 250,2024,Эндуро,Кемерово,135000,250,1000,бензин,4-тактный
